,Price
2016-01-01 00:00:00,34.54
2016-01-01 00:15:00,37.82
2016-01-01 00:30:00,37.65
2016-01-01 00:45:00,36.88
2016-01-01 01:00:00,32.00666666666667
2016-01-01 01:15:00,31.08
2016-01-01 01:30:00,30.92
2016-01-01 01:45:00,30.23
2016-01-01 02:00:00,29.64
2016-01-01 02:15:00,29.466499999999996
2016-01-01 02:30:00,28.89
2016-01-01 02:45:00,28.566666666666666
2016-01-01 03:00:00,31.08
2016-01-01 03:15:00,30.23
2016-01-01 03:30:00,29.849600000000002
2016-01-01 03:45:00,29.64
2016-01-01 04:00:00,28.063200000000002
2016-01-01 04:15:00,27.91333333333333
2016-01-01 04:30:00,28.57
2016-01-01 04:45:00,28.57
2016-01-01 05:00:00,28.89
2016-01-01 05:15:00,28.57
2016-01-01 05:30:00,28.57
2016-01-01 05:45:00,28.17
2016-01-01 06:00:00,28.072
2016-01-01 06:15:00,28.063200000000002
2016-01-01 06:30:00,28.17
2016-01-01 06:45:00,28.57
2016-01-01 07:00:00,32.7712
2016-01-01 07:15:00,33.9504
2016-01-01 07:30:00,34.08
2016-01-01 07:45:00,34.6896
2016-01-01 08:00:00,34.6896
2016-01-01 08:15:00,34.6896
2016-01-01 08:30:00,35.3496
2016-01-01 08:45:00,35.3496
2016-01-01 09:00:00,30.76
2016-01-01 09:15:00,32.7624
2016-01-01 09:30:00,34.012
2016-01-01 09:45:00,34.6896
2016-01-01 10:00:00,34.6896
2016-01-01 10:15:00,35.3496
2016-01-01 10:30:00,36.5728
2016-01-01 10:45:00,37.0578354978355
2016-01-01 11:00:00,34.6896
2016-01-01 11:15:00,36.96
2016-01-01 11:30:00,37.232800000000005
2016-01-01 11:45:00,37.232800000000005
2016-01-01 12:00:00,35.3496
2016-01-01 12:15:00,35.912800000000004
2016-01-01 12:30:00,36.502399999999994
2016-01-01 12:45:00,36.502399999999994
2016-01-01 13:00:00,35.3496
2016-01-01 13:15:00,35.6488
2016-01-01 13:30:00,36.502399999999994
2016-01-01 13:45:00,37.232800000000005
2016-01-01 14:00:00,37.232800000000005
2016-01-01 14:15:00,37.7344
2016-01-01 14:30:00,38.2536
2016-01-01 14:45:00,38.79
2016-01-01 15:00:00,37.232800000000005
2016-01-01 15:15:00,37.7344
2016-01-01 15:30:00,38.394400000000005
2016-01-01 15:45:00,38.79
2016-01-01 16:00:00,37.7344
2016-01-01 16:15:00,39.0
2016-01-01 16:30:00,39.61
2016-01-01 16:45:00,39.55
2016-01-01 17:00:00,40.49
2016-01-01 17:15:00,40.24
2016-01-01 17:30:00,40.49
2016-01-01 17:45:00,40.49
2016-01-01 18:00:00,39.7
2016-01-01 18:15:00,39.55
2016-01-01 18:30:00,39.49
2016-01-01 18:45:00,38.7288
2016-01-01 19:00:00,39.12
2016-01-01 19:15:00,38.1392
2016-01-01 19:30:00,36.5728
2016-01-01 19:45:00,35.20495370370371
2016-01-01 20:00:00,38.97
2016-01-01 20:15:00,36.5728
2016-01-01 20:30:00,34.6896
2016-01-01 20:45:00,34.18523809523809
2016-01-01 21:00:00,34.6896
2016-01-01 21:15:00,34.276
2016-01-01 21:30:00,30.76
2016-01-01 21:45:00,29.98
2016-01-01 22:00:00,34.6896
2016-01-01 22:15:00,32.7712
2016-01-01 22:30:00,29.98
2016-01-01 22:45:00,29.17
2016-01-01 23:00:00,29.98
2016-01-01 23:15:00,29.98
2016-01-01 23:30:00,28.57
2016-01-01 23:45:00,27.87
